;region_id;region_name
0;1;ctx.lh.caudalanteriorcingulate
1;2;ctx.lh.caudalmiddlefrontal
2;3;ctx.lh.cuneus
3;4;ctx.lh.entorhinal
4;5;ctx.lh.fusiform
5;6;ctx.lh.inferiorparietal
6;7;ctx.lh.inferiortemporal
7;8;ctx.lh.isthmuscingulate
8;9;ctx.lh.lateraloccipital
9;10;ctx.lh.lateralorbitofrontal
10;11;ctx.lh.lingual
11;12;ctx.lh.medialorbitofrontal
12;13;ctx.lh.middletemporal
13;14;ctx.lh.parahippocampal
14;15;ctx.lh.paracentral
15;16;ctx.lh.parsopercularis
16;17;ctx.lh.parsorbitalis
17;18;ctx.lh.parstriangularis
18;19;ctx.lh.pericalcarine
19;20;ctx.lh.postcentral
20;21;ctx.lh.posteriorcingulate
21;22;ctx.lh.precentral
22;23;ctx.lh.precuneus
23;24;ctx.lh.rostralanteriorcingulate
24;25;ctx.lh.rostralmiddlefrontal
25;26;ctx.lh.superiorfrontal
26;27;ctx.lh.superiorparietal
27;28;ctx.lh.superiortemporal
28;29;ctx.lh.supramarginal
29;30;ctx.lh.transversetemporal
30;31;ctx.lh.insula
31;32;left.thalamus
32;33;left.caudate
33;34;left.putamen
34;35;left.pallidum
35;36;left.hippocampus
36;37;left.amygdala
37;38;left.accumbens
38;39;right.thalamus
39;40;right.caudate
40;41;right.putamen
41;42;right.pallidum
42;43;right.hippocampus
43;44;right.amygdala
44;45;right.accumbens
45;46;ctx.rh.caudalanteriorcingulate
46;47;ctx.rh.caudalmiddlefrontal
47;48;ctx.rh.cuneus
48;49;ctx.rh.entorhinal
49;50;ctx.rh.fusiform
50;51;ctx.rh.inferiorparietal
51;52;ctx.rh.inferiortemporal
52;53;ctx.rh.isthmuscingulate
53;54;ctx.rh.lateraloccipital
54;55;ctx.rh.lateralorbitofrontal
55;56;ctx.rh.lingual
56;57;ctx.rh.medialorbitofrontal
57;58;ctx.rh.middletemporal
58;59;ctx.rh.parahippocampal
59;60;ctx.rh.paracentral
60;61;ctx.rh.parsopercularis
61;62;ctx.rh.parsorbitalis
62;63;ctx.rh.parstriangularis
63;64;ctx.rh.pericalcarine
64;65;ctx.rh.postcentral
65;66;ctx.rh.posteriorcingulate
66;67;ctx.rh.precentral
67;68;ctx.rh.precuneus
68;69;ctx.rh.rostralanteriorcingulate
69;70;ctx.rh.rostralmiddlefrontal
70;71;ctx.rh.superiorfrontal
71;72;ctx.rh.superiorparietal
72;73;ctx.rh.superiortemporal
73;74;ctx.rh.supramarginal
74;75;ctx.rh.transversetemporal
75;76;ctx.rh.insula
