# node,t-statistic,p-value,controls_mean,controls_std,controls_n,controls_ci,patients_mean,patients_std,patients_n,patients_ci
1.00000000,-0.35873993,0.72032624,0.00208208,0.00224260,18.00000000,0.00103603,0.00227748,0.00213100,125.00000000,0.00037358
2.00000000,1.01272082,0.31292821,0.00334334,0.00265301,18.00000000,0.00122563,0.00262919,0.00279507,125.00000000,0.00049000
3.00000000,-1.37795884,0.17039890,0.00408408,0.00350619,18.00000000,0.00161978,0.00556396,0.00432442,125.00000000,0.00075810
4.00000000,-0.89144254,0.37421050,0.00036036,0.00058847,18.00000000,0.00027186,0.00062559,0.00123337,125.00000000,0.00021622
5.00000000,-0.93356003,0.35212683,0.00178178,0.00189345,18.00000000,0.00087473,0.00273586,0.00424506,125.00000000,0.00074419
6.00000000,0.54554043,0.58624388,0.00750751,0.00857850,18.00000000,0.00396307,0.00670847,0.00524193,125.00000000,0.00091895
7.00000000,-0.05703759,0.95459600,0.00302302,0.00331396,18.00000000,0.00153097,0.00307603,0.00370805,125.00000000,0.00065005
8.00000000,-0.41537580,0.67849824,0.00472472,0.00351624,18.00000000,0.00162442,0.00511712,0.00374941,125.00000000,0.00065730
9.00000000,-0.36295809,0.71717972,0.01049049,0.00558383,18.00000000,0.00257960,0.01114234,0.00726329,125.00000000,0.00127331
10.00000000,-1.05876583,0.29151686,0.00198198,0.00245953,18.00000000,0.00113625,0.00266667,0.00255952,125.00000000,0.00044870
11.00000000,0.46403605,0.64333754,0.00434434,0.00509976,18.00000000,0.00235597,0.00388324,0.00371206,125.00000000,0.00065075
12.00000000,-0.64102454,0.52254727,0.00182182,0.00156374,18.00000000,0.00072241,0.00211603,0.00184030,125.00000000,0.00032262
13.00000000,-1.14248960,0.25518688,0.00186186,0.00229568,18.00000000,0.00106055,0.00264937,0.00277014,125.00000000,0.00048563
14.00000000,-0.99891228,0.31954838,0.00016016,0.00041994,18.00000000,0.00019400,0.00055928,0.00167571,125.00000000,0.00029376
15.00000000,-1.08099424,0.28154511,0.00168168,0.00138007,18.00000000,0.00063756,0.00245333,0.00296135,125.00000000,0.00051915
16.00000000,-1.04584718,0.29742119,0.00226226,0.00259528,18.00000000,0.00119896,0.00298955,0.00275916,125.00000000,0.00048370
17.00000000,2.22360644,0.02776573,0.00264264,0.00226960,18.00000000,0.00104850,0.00163748,0.00169852,125.00000000,0.00029776
18.00000000,-0.67024222,0.50379965,0.00164164,0.00186563,18.00000000,0.00086188,0.00196324,0.00189343,125.00000000,0.00033193
19.00000000,-0.51762383,0.60553191,0.00260260,0.00290918,18.00000000,0.00134397,0.00294342,0.00254476,125.00000000,0.00044612
20.00000000,-0.29143360,0.77114801,0.00624625,0.00552553,18.00000000,0.00255266,0.00665658,0.00554863,125.00000000,0.00097272
21.00000000,2.04359415,0.04285557,0.00414414,0.00397351,18.00000000,0.00183567,0.00279928,0.00232655,125.00000000,0.00040786
22.00000000,-0.09969706,0.92072644,0.00914915,0.00586395,18.00000000,0.00270901,0.00932324,0.00701198,125.00000000,0.00122925
23.00000000,2.48181677,0.01424591,0.01563564,0.01201630,18.00000000,0.00555125,0.01091748,0.00658425,125.00000000,0.00115427
24.00000000,-0.64674427,0.51884888,0.00220220,0.00195869,18.00000000,0.00090487,0.00260036,0.00248480,125.00000000,0.00043560
25.00000000,-0.26346282,0.79257850,0.00304304,0.00306771,18.00000000,0.00141721,0.00325189,0.00313011,125.00000000,0.00054873
26.00000000,-1.42113969,0.15748401,0.00634635,0.00371624,18.00000000,0.00171681,0.00817586,0.00523690,125.00000000,0.00091807
27.00000000,-0.80982407,0.41940587,0.01275275,0.01076878,18.00000000,0.00497492,0.01496216,0.01074281,125.00000000,0.00188330
28.00000000,-0.67817432,0.49877262,0.00516516,0.00478223,18.00000000,0.00220928,0.00614054,0.00578095,125.00000000,0.00101345
29.00000000,-0.99359917,0.32212012,0.00384384,0.00393290,18.00000000,0.00181691,0.00496144,0.00449747,125.00000000,0.00078844
30.00000000,-1.34461835,0.18090759,0.00004004,0.00011325,18.00000000,0.00005232,0.00017297,0.00041427,125.00000000,0.00007263
31.00000000,0.82486784,0.41083993,0.00640641,0.00538743,18.00000000,0.00248887,0.00518342,0.00590213,125.00000000,0.00103469
32.00000000,0.84371291,0.40025896,0.00308308,0.00350047,18.00000000,0.00161714,0.00217081,0.00435722,125.00000000,0.00076386
33.00000000,0.69045074,0.49104577,0.00234234,0.00428452,18.00000000,0.00197935,0.00180468,0.00284935,125.00000000,0.00049951
34.00000000,0.57564924,0.56576988,0.00254254,0.00353788,18.00000000,0.00163442,0.00194883,0.00413246,125.00000000,0.00072445
35.00000000,1.22028412,0.22439414,0.00178178,0.00185885,18.00000000,0.00085874,0.00108108,0.00231395,125.00000000,0.00040565
36.00000000,0.18674923,0.85212569,0.00232232,0.00396619,18.00000000,0.00183229,0.00216504,0.00321299,125.00000000,0.00056326
37.00000000,1.72081086,0.08747872,0.00060060,0.00123087,18.00000000,0.00056863,0.00026811,0.00066666,125.00000000,0.00011687
38.00000000,1.07264348,0.28526352,0.00084084,0.00185312,18.00000000,0.00085610,0.00051892,0.00105077,125.00000000,0.00018421
39.00000000,1.70127822,0.09109494,0.00580580,0.00592728,18.00000000,0.00273826,0.00367279,0.00477913,125.00000000,0.00083782
40.00000000,1.02756983,0.30591178,0.00326326,0.00415323,18.00000000,0.00191869,0.00229477,0.00364446,125.00000000,0.00063890
41.00000000,-0.12419228,0.90133991,0.00150150,0.00255732,18.00000000,0.00118142,0.00159423,0.00299225,125.00000000,0.00052457
42.00000000,-0.05165123,0.95887970,0.00090090,0.00173344,18.00000000,0.00080081,0.00092540,0.00188732,125.00000000,0.00033086
43.00000000,-1.17341976,0.24260588,0.00188188,0.00228404,18.00000000,0.00105517,0.00281658,0.00324192,125.00000000,0.00056833
44.00000000,-0.39836448,0.69096411,0.00024024,0.00041611,18.00000000,0.00019223,0.00033153,0.00095244,125.00000000,0.00016697
45.00000000,0.37527006,0.70802354,0.00050050,0.00103428,18.00000000,0.00047781,0.00040649,0.00097973,125.00000000,0.00017175
46.00000000,-1.40157993,0.16323811,0.00070070,0.00093410,18.00000000,0.00043153,0.00118775,0.00142040,125.00000000,0.00024901
47.00000000,1.37745245,0.17055498,0.00226226,0.00240482,18.00000000,0.00111097,0.00157694,0.00188695,125.00000000,0.00033080
48.00000000,-0.00433775,0.99654512,0.00688689,0.00453108,18.00000000,0.00209325,0.00689297,0.00565442,125.00000000,0.00099126
49.00000000,-0.91083242,0.36393817,0.00020020,0.00032281,18.00000000,0.00014913,0.00057369,0.00172317,125.00000000,0.00030208
50.00000000,0.68176492,0.49650594,0.00302302,0.00320777,18.00000000,0.00148191,0.00249658,0.00301677,125.00000000,0.00052886
51.00000000,-1.75569979,0.08131119,0.00340340,0.00299632,18.00000000,0.00138423,0.00582631,0.00570158,125.00000000,0.00099953
52.00000000,-2.00268070,0.04712891,0.00232232,0.00259087,18.00000000,0.00119692,0.00418306,0.00378880,125.00000000,0.00066421
53.00000000,0.90024703,0.36952380,0.00406406,0.00299532,18.00000000,0.00138377,0.00336432,0.00307096,125.00000000,0.00053836
54.00000000,1.28578179,0.20062685,0.01103103,0.00692557,18.00000000,0.00319945,0.00916468,0.00552156,125.00000000,0.00096797
55.00000000,-1.87047955,0.06349016,0.00154154,0.00113197,18.00000000,0.00052294,0.00270703,0.00258963,125.00000000,0.00045398
56.00000000,0.11594588,0.90786040,0.00466466,0.00333855,18.00000000,0.00154233,0.00453766,0.00443746,125.00000000,0.00077792
57.00000000,0.31732429,0.75146695,0.00162162,0.00193408,18.00000000,0.00089350,0.00149045,0.00157925,125.00000000,0.00027685
58.00000000,-1.89774587,0.05977372,0.00162162,0.00197469,18.00000000,0.00091226,0.00305009,0.00308130,125.00000000,0.00054018
59.00000000,1.95550909,0.05250031,0.00096096,0.00243521,18.00000000,0.00112501,0.00034306,0.00095816,125.00000000,0.00016797
60.00000000,0.60056747,0.54909223,0.00258258,0.00267048,18.00000000,0.00123370,0.00209874,0.00323926,125.00000000,0.00056787
61.00000000,-0.29206191,0.77066857,0.00240240,0.00201716,18.00000000,0.00093188,0.00264649,0.00343659,125.00000000,0.00060246
62.00000000,-0.38180142,0.70318345,0.00040040,0.00052206,18.00000000,0.00024118,0.00049874,0.00106685,125.00000000,0.00018703
63.00000000,-0.67995000,0.49765097,0.00112112,0.00109361,18.00000000,0.00050522,0.00140108,0.00168422,125.00000000,0.00029526
64.00000000,0.83575399,0.40470733,0.00306306,0.00302037,18.00000000,0.00139534,0.00255423,0.00229457,125.00000000,0.00040226
65.00000000,0.12494312,0.90074654,0.00374374,0.00286062,18.00000000,0.00132154,0.00363243,0.00359281,125.00000000,0.00062985
66.00000000,-0.50190950,0.61651403,0.00168168,0.00164700,18.00000000,0.00076088,0.00189694,0.00169524,125.00000000,0.00029719
67.00000000,-0.96119796,0.33809809,0.00648649,0.00338475,18.00000000,0.00156367,0.00804901,0.00672691,125.00000000,0.00117928
68.00000000,-0.46708958,0.64115677,0.01145145,0.00888284,18.00000000,0.00410366,0.01247712,0.00861491,125.00000000,0.00151026
69.00000000,0.35339615,0.72431929,0.00166166,0.00177818,18.00000000,0.00082148,0.00149622,0.00185328,125.00000000,0.00032489
70.00000000,-0.92302777,0.35756954,0.00172172,0.00183181,18.00000000,0.00084625,0.00227171,0.00241209,125.00000000,0.00042286
71.00000000,-3.12381348,0.00216732,0.00856857,0.00397588,18.00000000,0.00183676,0.01623640,0.01023041,125.00000000,0.00179347
72.00000000,-0.44269488,0.65866483,0.01643644,0.00934558,18.00000000,0.00431744,0.01775856,0.01207173,125.00000000,0.00211627
73.00000000,-0.44562044,0.65655491,0.00394394,0.00340699,18.00000000,0.00157395,0.00440793,0.00419163,125.00000000,0.00073483
74.00000000,0.14813180,0.88245039,0.00460460,0.00304489,18.00000000,0.00140667,0.00446559,0.00378111,125.00000000,0.00066286
75.00000000,2.39718634,0.01783160,0.00114114,0.00151108,18.00000000,0.00069808,0.00043532,0.00109994,125.00000000,0.00019283
76.00000000,1.31271285,0.19141236,0.00808809,0.00727914,18.00000000,0.00336279,0.00601658,0.00604705,125.00000000,0.00106010
