# node,t-statistic,p-value,controls_mean,controls_std,controls_n,controls_ci,patients_mean,patients_std,patients_n,patients_ci
1.00000000,1.89027258,0.06077374,0.39189502,0.04867006,18.00000000,0.02248442,0.37047378,0.04402462,125.00000000,0.00771786
2.00000000,2.37747180,0.01877381,0.42983782,0.05162143,18.00000000,0.02384788,0.40200045,0.04527133,125.00000000,0.00793641
3.00000000,1.91444170,0.05758937,0.41972403,0.04150142,18.00000000,0.01917268,0.39765399,0.04594242,125.00000000,0.00805406
4.00000000,1.48261275,0.14040896,0.31887741,0.04002100,18.00000000,0.01848876,0.30336490,0.04138018,125.00000000,0.00725427
5.00000000,1.45693422,0.14735793,0.39054354,0.04232262,18.00000000,0.01955205,0.37163352,0.05226841,125.00000000,0.00916306
6.00000000,1.70637084,0.09014060,0.44577008,0.04224746,18.00000000,0.01951733,0.42706961,0.04329691,125.00000000,0.00759028
7.00000000,2.56023743,0.01151260,0.40046678,0.04255390,18.00000000,0.01965890,0.37158630,0.04469514,125.00000000,0.00783540
8.00000000,2.69663645,0.00785804,0.42804783,0.02185464,18.00000000,0.01009633,0.40505896,0.03494414,125.00000000,0.00612598
9.00000000,2.26024955,0.02533790,0.44750556,0.04471219,18.00000000,0.02065598,0.42015425,0.04807365,125.00000000,0.00842768
10.00000000,0.16261521,0.87105423,0.37706762,0.03695082,18.00000000,0.01707041,0.37516982,0.04712443,125.00000000,0.00826128
11.00000000,2.15241608,0.03306680,0.40404817,0.03345490,18.00000000,0.01545537,0.37822154,0.04892966,125.00000000,0.00857775
12.00000000,0.55775754,0.57789443,0.36184717,0.02695931,18.00000000,0.01245457,0.35579550,0.04455010,125.00000000,0.00780998
13.00000000,1.33283646,0.18473520,0.41129339,0.02956753,18.00000000,0.01365950,0.39760530,0.04178551,125.00000000,0.00732532
14.00000000,1.39580379,0.16496762,0.32610950,0.03540727,18.00000000,0.01635732,0.31094693,0.04374742,125.00000000,0.00766926
15.00000000,2.17495783,0.03130065,0.42959176,0.05265725,18.00000000,0.02432641,0.40493668,0.04337522,125.00000000,0.00760401
16.00000000,1.69564761,0.09215965,0.40642932,0.05266208,18.00000000,0.02432864,0.38550447,0.04799393,125.00000000,0.00841371
17.00000000,2.35422619,0.01994110,0.39016779,0.05495240,18.00000000,0.02538671,0.35990244,0.04998415,125.00000000,0.00876261
18.00000000,1.97775889,0.04990549,0.40219972,0.04375684,18.00000000,0.02021463,0.37893549,0.04669101,125.00000000,0.00818530
19.00000000,1.50331426,0.13499452,0.38484565,0.02215939,18.00000000,0.01023712,0.37008904,0.04048978,125.00000000,0.00709817
20.00000000,2.07005393,0.04027187,0.45527022,0.05600278,18.00000000,0.02587196,0.42791949,0.05144628,125.00000000,0.00901893
21.00000000,2.15649503,0.03274096,0.40930000,0.04213432,18.00000000,0.01946506,0.38670425,0.04114498,125.00000000,0.00721303
22.00000000,2.01090583,0.04624184,0.46302875,0.05215190,18.00000000,0.02409295,0.43719748,0.05036834,125.00000000,0.00882996
23.00000000,2.58676618,0.01070053,0.46699170,0.03150319,18.00000000,0.01455373,0.44210814,0.03872259,125.00000000,0.00678837
24.00000000,0.92748765,0.35525833,0.36875722,0.02616383,18.00000000,0.01208707,0.36005684,0.03825165,125.00000000,0.00670581
25.00000000,1.44290866,0.15126407,0.42002472,0.05574263,18.00000000,0.02575178,0.40289524,0.04531951,125.00000000,0.00794486
26.00000000,1.11921005,0.26495354,0.44468090,0.03974683,18.00000000,0.01836210,0.43328929,0.04013943,125.00000000,0.00703675
