# node,t-statistic,p-value,controls_mean,controls_std,controls_n,controls_ci,patients_mean,patients_std,patients_n,patients_ci
1.00000000,0.50372431,0.61524123,226.88888889,3.47832796,18.00000000,1.60690554,226.40000000,3.86988372,125.00000000,0.67842053
2.00000000,0.94534465,0.34610012,238.55555556,1.60631470,18.00000000,0.74207953,237.67200000,3.89004062,125.00000000,0.68195419
3.00000000,2.40136570,0.01763732,227.11111111,1.19670329,18.00000000,0.55284871,224.81600000,4.00076793,125.00000000,0.70136554
4.00000000,2.11633039,0.03607357,196.00000000,2.98142397,18.00000000,1.37734760,193.21600000,5.42525059,125.00000000,0.95108836
5.00000000,1.93186083,0.05538228,230.11111111,3.22987597,18.00000000,1.49212657,227.10400000,6.44214126,125.00000000,1.12935716
6.00000000,0.10031961,0.92023309,272.11111111,2.15738754,18.00000000,0.99666219,272.03200000,3.21977887,125.00000000,0.56445212
7.00000000,2.16845139,0.03180184,238.55555556,1.86256162,18.00000000,0.86045957,236.14400000,4.63155093,125.00000000,0.81194668
8.00000000,1.13135413,0.25982662,257.44444444,5.11231870,18.00000000,2.36177074,255.29600000,7.76146790,125.00000000,1.36064532
9.00000000,2.29645281,0.02312364,248.88888889,1.36986978,18.00000000,0.63284755,246.22400000,4.86105174,125.00000000,0.85217994
10.00000000,1.80571130,0.07309669,244.22222222,3.52066212,18.00000000,1.62646292,242.48800000,3.81914336,125.00000000,0.66952535
11.00000000,2.45436514,0.01533146,232.88888889,1.19670329,18.00000000,0.55284871,230.16000000,4.66201673,125.00000000,0.81728757
12.00000000,2.78922699,0.00601416,237.88888889,4.44583312,18.00000000,2.05387011,233.79200000,5.95354819,125.00000000,1.04370301
13.00000000,2.04634231,0.04258079,262.22222222,3.64471544,18.00000000,1.68377263,259.76000000,4.87672021,125.00000000,0.85492675
14.00000000,1.84809615,0.06668351,198.66666667,4.32049380,18.00000000,1.99596630,196.20800000,5.35954625,125.00000000,0.93956988
15.00000000,2.03702140,0.04351891,236.88888889,2.51415744,18.00000000,1.16148148,234.94400000,3.90753938,125.00000000,0.68502186
16.00000000,0.64097697,0.52257809,241.22222222,2.99175823,18.00000000,1.38212179,240.62400000,3.76438893,125.00000000,0.65992648
17.00000000,1.27257886,0.20526200,211.22222222,2.01537302,18.00000000,0.93105483,210.12000000,3.56785650,125.00000000,0.62547282
18.00000000,0.11208480,0.91091558,238.22222222,2.09644025,18.00000000,0.96850598,238.14400000,2.83041764,125.00000000,0.49619409
19.00000000,2.02188752,0.04507966,223.66666667,0.74535599,18.00000000,0.34433690,220.91200000,5.73273547,125.00000000,1.00499284
