# node,t-statistic,p-value,controls_mean,controls_std,controls_n,controls_ci,patients_mean,patients_std,patients_n,patients_ci
1.00000000,2.76367195,0.00647910,0.43481222,0.02863174,18.00000000,0.01322719,0.41182466,0.03331467,125.00000000,0.00584032
2.00000000,2.73937836,0.00695115,0.43352710,0.02822339,18.00000000,0.01303854,0.41085889,0.03317533,125.00000000,0.00581589
3.00000000,2.75930810,0.00656169,0.43372961,0.02884555,18.00000000,0.01332596,0.41077420,0.03329477,125.00000000,0.00583683
4.00000000,2.73631593,0.00701282,0.43716606,0.02968257,18.00000000,0.01371265,0.41402683,0.03379794,125.00000000,0.00592504
5.00000000,2.77777143,0.00621869,0.43482586,0.02934244,18.00000000,0.01355552,0.41178942,0.03311607,125.00000000,0.00580550
6.00000000,2.76427989,0.00646767,0.43334840,0.02883520,18.00000000,0.01332118,0.41037043,0.03326589,125.00000000,0.00583177
7.00000000,2.72050511,0.00733920,0.43459714,0.02926410,18.00000000,0.01351932,0.41192422,0.03330796,125.00000000,0.00583914
8.00000000,2.73987897,0.00694112,0.43397030,0.02928537,18.00000000,0.01352915,0.41099678,0.03353072,125.00000000,0.00587819
9.00000000,2.75514516,0.00664136,0.43300227,0.02857829,18.00000000,0.01320250,0.41018742,0.03315755,125.00000000,0.00581278
10.00000000,2.83609396,0.00523964,0.43536338,0.02969356,18.00000000,0.01371773,0.41181268,0.03311898,125.00000000,0.00580601
11.00000000,2.74535772,0.00683216,0.43430502,0.02937167,18.00000000,0.01356902,0.41145873,0.03323968,125.00000000,0.00582717
12.00000000,2.82091871,0.00547984,0.43581369,0.02946060,18.00000000,0.01361010,0.41236193,0.03319159,125.00000000,0.00581874
13.00000000,2.78949620,0.00600943,0.43447245,0.02930601,18.00000000,0.01353869,0.41127270,0.03322598,125.00000000,0.00582477
14.00000000,2.74784517,0.00678320,0.43696102,0.02944646,18.00000000,0.01360357,0.41381393,0.03368292,125.00000000,0.00590488
15.00000000,2.74223267,0.00689412,0.43362766,0.02852433,18.00000000,0.01317757,0.41075528,0.03342993,125.00000000,0.00586052
16.00000000,2.77897313,0.00619694,0.43433430,0.02819205,18.00000000,0.01302406,0.41138305,0.03310812,125.00000000,0.00580411
17.00000000,2.73702448,0.00699851,0.43474432,0.02841296,18.00000000,0.01312612,0.41213660,0.03308563,125.00000000,0.00580017
18.00000000,2.75787017,0.00658911,0.43450596,0.02878289,18.00000000,0.01329702,0.41160565,0.03323322,125.00000000,0.00582604
19.00000000,2.76158165,0.00651854,0.43492210,0.02942578,18.00000000,0.01359402,0.41175262,0.03353550,125.00000000,0.00587903
20.00000000,2.76502084,0.00645377,0.43278225,0.02810967,18.00000000,0.01298600,0.40999716,0.03303667,125.00000000,0.00579158
21.00000000,2.74794479,0.00678125,0.43425742,0.02904320,18.00000000,0.01341727,0.41134790,0.03334856,125.00000000,0.00584626
22.00000000,2.76070138,0.00653522,0.43250058,0.02826038,18.00000000,0.01305563,0.40971405,0.03307755,125.00000000,0.00579875
23.00000000,2.73546277,0.00703009,0.43276504,0.02916136,18.00000000,0.01347186,0.40993185,0.03337871,125.00000000,0.00585155
24.00000000,2.78481158,0.00609226,0.43553481,0.02931335,18.00000000,0.01354207,0.41221613,0.03347684,125.00000000,0.00586875
25.00000000,2.78450950,0.00609763,0.43392419,0.02810623,18.00000000,0.01298442,0.41081970,0.03328946,125.00000000,0.00583590
26.00000000,2.80920531,0.00567207,0.43333714,0.02871583,18.00000000,0.01326604,0.40997042,0.03330492,125.00000000,0.00583861
27.00000000,2.76149787,0.00652013,0.43241048,0.02856732,18.00000000,0.01319743,0.40944998,0.03330823,125.00000000,0.00583919
28.00000000,2.77738046,0.00622578,0.43361643,0.02875659,18.00000000,0.01328487,0.41055403,0.03323662,125.00000000,0.00582664
29.00000000,2.77945131,0.00618830,0.43371440,0.02869799,18.00000000,0.01325780,0.41066909,0.03318923,125.00000000,0.00581833
30.00000000,2.80388746,0.00576135,0.43665143,0.02914701,18.00000000,0.01346523,0.41324518,0.03338355,125.00000000,0.00585239
31.00000000,2.72784773,0.00718595,0.43371592,0.02876501,18.00000000,0.01328876,0.41104663,0.03326516,125.00000000,0.00583164
32.00000000,2.66301796,0.00864518,0.43410085,0.02955423,18.00000000,0.01365336,0.41147755,0.03398729,125.00000000,0.00595823
33.00000000,2.70081157,0.00776495,0.43514430,0.02929386,18.00000000,0.01353308,0.41242385,0.03365207,125.00000000,0.00589947
34.00000000,2.69630396,0.00786550,0.43452210,0.02911668,18.00000000,0.01345122,0.41177714,0.03377685,125.00000000,0.00592134
35.00000000,2.67960769,0.00824826,0.43501200,0.02926797,18.00000000,0.01352111,0.41222580,0.03405924,125.00000000,0.00597085
36.00000000,2.66284857,0.00864932,0.43525800,0.02928242,18.00000000,0.01352779,0.41276734,0.03380270,125.00000000,0.00592588
37.00000000,2.71266264,0.00750614,0.43682717,0.02956646,18.00000000,0.01365901,0.41390507,0.03378461,125.00000000,0.00592270
38.00000000,2.70196694,0.00773937,0.43652049,0.02830783,18.00000000,0.01307755,0.41411262,0.03324565,125.00000000,0.00582822
39.00000000,2.62710810,0.00956404,0.43368358,0.02924842,18.00000000,0.01351208,0.41132547,0.03409260,125.00000000,0.00597670
40.00000000,2.67650121,0.00832131,0.43470925,0.02883289,18.00000000,0.01332011,0.41228145,0.03356346,125.00000000,0.00588393
41.00000000,2.70272834,0.00772255,0.43462171,0.02940326,18.00000000,0.01358361,0.41179427,0.03378751,125.00000000,0.00592321
42.00000000,2.71915742,0.00736764,0.43517108,0.02904963,18.00000000,0.01342024,0.41212206,0.03396646,125.00000000,0.00595458
43.00000000,2.74160468,0.00690663,0.43559304,0.02954674,18.00000000,0.01364990,0.41248725,0.03368853,125.00000000,0.00590586
44.00000000,2.72666833,0.00721037,0.43707528,0.02925636,18.00000000,0.01351575,0.41403198,0.03382809,125.00000000,0.00593033
45.00000000,2.68456768,0.00813283,0.43675792,0.02879219,18.00000000,0.01330131,0.41434199,0.03343733,125.00000000,0.00586182
46.00000000,2.77011108,0.00635897,0.43537070,0.02852571,18.00000000,0.01317821,0.41220855,0.03352124,125.00000000,0.00587653
47.00000000,2.76477849,0.00645831,0.43383840,0.02847913,18.00000000,0.01315669,0.41097540,0.03311917,125.00000000,0.00580605
48.00000000,2.75837943,0.00657939,0.43376770,0.02889949,18.00000000,0.01335088,0.41082369,0.03328212,125.00000000,0.00583461
49.00000000,2.65937387,0.00873465,0.43669521,0.02844421,18.00000000,0.01314056,0.41430689,0.03378424,125.00000000,0.00592264
50.00000000,2.71190743,0.00752240,0.43469704,0.02905012,18.00000000,0.01342047,0.41216098,0.03322821,125.00000000,0.00582516
51.00000000,2.76873543,0.00638446,0.43360584,0.02877062,18.00000000,0.01329135,0.41054182,0.03335242,125.00000000,0.00584694
52.00000000,2.78364927,0.00611297,0.43481987,0.02923574,18.00000000,0.01350622,0.41159847,0.03334700,125.00000000,0.00584599
53.00000000,2.75358833,0.00667138,0.43427493,0.02917376,18.00000000,0.01347759,0.41118728,0.03354341,125.00000000,0.00588042
54.00000000,2.71151540,0.00753085,0.43283399,0.02846803,18.00000000,0.01315156,0.41036720,0.03319284,125.00000000,0.00581896
55.00000000,2.83140534,0.00531281,0.43559244,0.02946136,18.00000000,0.01361046,0.41200687,0.03326468,125.00000000,0.00583156
56.00000000,2.74523148,0.00683465,0.43413217,0.02911897,18.00000000,0.01345228,0.41132596,0.03320857,125.00000000,0.00582172
57.00000000,2.80834617,0.00568640,0.43594690,0.02953430,18.00000000,0.01364415,0.41254235,0.03327290,125.00000000,0.00583300
58.00000000,2.80136851,0.00580408,0.43430194,0.02875815,18.00000000,0.01328559,0.41101801,0.03327179,125.00000000,0.00583280
59.00000000,2.69687330,0.00785273,0.43632316,0.02922670,18.00000000,0.01350205,0.41368419,0.03358095,125.00000000,0.00588700
60.00000000,2.73917120,0.00695531,0.43383588,0.02842205,18.00000000,0.01313032,0.41102319,0.03338727,125.00000000,0.00585305
61.00000000,2.77061228,0.00634970,0.43438217,0.02853551,18.00000000,0.01318273,0.41128933,0.03340258,125.00000000,0.00585573
62.00000000,2.75885757,0.00657027,0.43555817,0.02883727,18.00000000,0.01332214,0.41252486,0.03342702,125.00000000,0.00586002
63.00000000,2.76995808,0.00636180,0.43500473,0.02883037,18.00000000,0.01331895,0.41191128,0.03337581,125.00000000,0.00585104
64.00000000,2.75594069,0.00662607,0.43501698,0.02927194,18.00000000,0.01352295,0.41191134,0.03352829,125.00000000,0.00587777
65.00000000,2.76540268,0.00644661,0.43331753,0.02842419,18.00000000,0.01313131,0.41036301,0.03326430,125.00000000,0.00583149
66.00000000,2.78006566,0.00617723,0.43459392,0.02866447,18.00000000,0.01324231,0.41147039,0.03331000,125.00000000,0.00583950
67.00000000,2.77919647,0.00619290,0.43280841,0.02833310,18.00000000,0.01308922,0.40979087,0.03319347,125.00000000,0.00581907
68.00000000,2.74634628,0.00681266,0.43283616,0.02880597,18.00000000,0.01330768,0.40992998,0.03339431,125.00000000,0.00585428
69.00000000,2.74024936,0.00693370,0.43539391,0.02907025,18.00000000,0.01342977,0.41247853,0.03345854,125.00000000,0.00586554
70.00000000,2.80344195,0.00576889,0.43436798,0.02864664,18.00000000,0.01323407,0.41107445,0.03327357,125.00000000,0.00583311
71.00000000,2.84477034,0.00510666,0.43301055,0.02889410,18.00000000,0.01334839,0.40921847,0.03348462,125.00000000,0.00587011
72.00000000,2.74398726,0.00685927,0.43225855,0.02864252,18.00000000,0.01323217,0.40936200,0.03343075,125.00000000,0.00586067
73.00000000,2.79648650,0.00588774,0.43417922,0.02894666,18.00000000,0.01337267,0.41082541,0.03342346,125.00000000,0.00585939
74.00000000,2.75361924,0.00667079,0.43393757,0.02875584,18.00000000,0.01328452,0.41098713,0.03337414,125.00000000,0.00585074
75.00000000,2.71864866,0.00737841,0.43602414,0.02861538,18.00000000,0.01321963,0.41317775,0.03369676,125.00000000,0.00590730
76.00000000,2.70863421,0.00759323,0.43393254,0.02928192,18.00000000,0.01352756,0.41116404,0.03362448,125.00000000,0.00589463
