# node,t-statistic,p-value,controls_mean,controls_std,controls_n,controls_ci,patients_mean,patients_std,patients_n,patients_ci
1.00000000,1.42829235,0.15541907,58.81669056,7.32934967,18.00000000,3.38598680,56.40570664,6.54495184,125.00000000,1.14738065
2.00000000,1.95043947,0.05310723,69.82892883,8.29884187,18.00000000,3.83386934,66.03306839,7.56997735,125.00000000,1.32707554
3.00000000,1.92802164,0.05586251,63.25572385,6.76050406,18.00000000,3.12319353,59.61899065,7.52102689,125.00000000,1.31849415
4.00000000,1.37114470,0.17250821,34.70939567,5.31400644,18.00000000,2.45494572,32.60449192,6.14494275,125.00000000,1.07725596
5.00000000,1.56414373,0.12002545,61.25788366,6.81938849,18.00000000,3.15039675,57.90800837,8.64349477,125.00000000,1.51527144
6.00000000,1.48939404,0.13861704,85.70941685,8.30468463,18.00000000,3.83656856,82.65137298,8.05541344,125.00000000,1.41217624
7.00000000,2.27597353,0.02435437,66.93642050,7.12086407,18.00000000,3.28967136,62.48404525,7.78584169,125.00000000,1.36491823
8.00000000,2.09858022,0.03763709,73.53214393,5.78517257,18.00000000,2.67261337,69.35465869,8.09379697,125.00000000,1.41890517
9.00000000,2.36462697,0.01941112,79.84531222,7.05494747,18.00000000,3.25921945,75.13296627,7.95732857,125.00000000,1.39498120
10.00000000,0.14036831,0.88856932,62.55416481,6.32767874,18.00000000,2.92323844,62.28880298,7.59369842,125.00000000,1.33123403
11.00000000,2.51698369,0.01295567,65.27233130,5.08284381,18.00000000,2.34815404,60.11616854,8.41196456,125.00000000,1.47468241
12.00000000,0.92454009,0.35678475,56.62076436,4.46366252,18.00000000,2.06210688,54.95464173,7.40068322,125.00000000,1.29739697
13.00000000,1.29868830,0.19617083,78.82399246,6.84362433,18.00000000,3.16159314,76.19437879,8.12538735,125.00000000,1.42444321
14.00000000,1.66981703,0.09717417,39.02475700,6.20587132,18.00000000,2.86696628,36.45944268,6.02851999,125.00000000,1.05684615
15.00000000,2.24268498,0.02647747,69.71656706,8.90654020,18.00000000,4.11461165,65.47198354,7.22166214,125.00000000,1.26601319
16.00000000,1.10262527,0.27206837,66.24549872,9.52257044,18.00000000,4.39920310,64.00831149,7.74637514,125.00000000,1.35799944
17.00000000,1.64676883,0.10183257,51.19888797,7.71156829,18.00000000,3.56256279,48.27948901,6.87141898,125.00000000,1.20461286
18.00000000,1.21604856,0.22599835,65.12019170,7.64952740,18.00000000,3.53390136,62.83178752,7.37738549,125.00000000,1.29331270
19.00000000,1.69053726,0.09313470,58.29160025,4.35869824,18.00000000,2.01361585,55.23408488,7.43772504,125.00000000,1.30389069
20.00000000,2.26489842,0.02504356,80.62335635,8.32084747,18.00000000,3.84403541,76.02742046,7.94425623,125.00000000,1.39268952
21.00000000,1.61793826,0.10791079,67.75343777,7.48463912,18.00000000,3.45772686,64.98290454,6.63141594,125.00000000,1.16253847
22.00000000,1.90811006,0.05840973,86.34755970,8.27284080,18.00000000,3.82185746,82.66375167,7.50310705,125.00000000,1.31535266
23.00000000,2.27492159,0.02441911,95.24460339,6.79561912,18.00000000,3.13941586,90.81675039,7.78377394,125.00000000,1.36455574
24.00000000,0.88682583,0.37668279,56.17753647,4.24943223,18.00000000,1.96313753,54.82723145,6.20863280,125.00000000,1.08842132
25.00000000,1.18009332,0.23995019,77.12710377,8.69311739,18.00000000,4.01601534,74.85757361,7.40012437,125.00000000,1.29729900
26.00000000,0.92103555,0.35860504,92.32430421,7.68490749,18.00000000,3.55024613,90.48843486,7.87473549,125.00000000,1.38050200
27.00000000,2.03784804,0.04343500,96.86506993,7.78223160,18.00000000,3.59520757,92.48068506,8.56930721,125.00000000,1.50226579
28.00000000,1.64140528,0.10294201,88.26674379,8.50269596,18.00000000,3.92804513,84.68438515,8.60984100,125.00000000,1.50937168
29.00000000,1.61992939,0.10748188,80.85880715,8.07927650,18.00000000,3.73243532,77.77373075,7.41432285,125.00000000,1.29978810
